0.0 -1.0 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.9 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.8 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.7 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.6 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.5 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.3999999999999999 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.29999999999999993 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.19999999999999996 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 -0.09999999999999998 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.10000000000000009 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.20000000000000018 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.30000000000000004 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.40000000000000013 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.5 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.6000000000000001 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.7000000000000002 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.8 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.9000000000000001 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.0 1.0 1.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0
